oaci;type;seuil;auto;pause;scan;profondeur
FMEE;TS;;True;2;3;12
FMEE;VENT_MOY;35.0;True;2;12;12
FMEE;TC;;False;2;12;12
FMEE;TSUNAMI;;False;2;12;12
LFBA;TS;;True;2;3;12
LFBA;GR;;True;2;3;12
LFBA;SQ;;True;2;12;12
LFBA;VENT_MOY;30.0;True;2;12;12
LFBA;VENT;50.0;True;2;12;12
LFBA;SN;;False;2;12;12
LFBA;FZRA;;True;2;12;12
LFBA;FZDZ;;True;2;12;12
LFBA;FZFG;;True;2;12;12
LFBA;FWID;;False;2;12;12
LFBA;VA;;False;2;12;12
LFBD;TS;;True;2;3;12
LFBD;GR;;True;2;3;12
LFBD;SQ;;True;2;12;12
LFBD;VENT_MOY;30.0;True;2;12;12
LFBD;VENT;50.0;True;2;12;12
LFBD;SN;;False;2;12;12
LFBD;FZRA;;True;2;12;12
LFBD;FZDZ;;True;2;12;12
LFBD;FZFG;;True;2;12;12
LFBD;FWID;;False;2;12;12
LFBD;VA;;False;2;12;12
LFBE;TS;;True;2;3;12
LFBE;GR;;True;2;3;12
LFBE;SQ;;True;2;12;12
LFBE;VENT_MOY;30.0;True;2;12;12
LFBE;VENT;50.0;True;2;12;12
LFBE;SN;;False;2;12;12
LFBE;FZRA;;True;2;12;12
LFBE;FZDZ;;True;2;12;12
LFBE;FZFG;;True;2;12;12
LFBE;FWID;;False;2;12;12
LFBE;VA;;False;2;12;12
LFBH;TS;;True;2;3;12
LFBH;GR;;True;2;3;12
LFBH;SQ;;True;2;12;12
LFBH;VENT_MOY;30.0;True;2;12;12
LFBH;VENT;50.0;True;2;12;12
LFBH;SN;;False;2;12;12
LFBH;FZRA;;True;2;12;12
LFBH;FZDZ;;True;2;12;12
LFBH;FZFG;;True;2;12;12
LFBH;FWID;;False;2;12;12
LFBH;VA;;False;2;12;12
LFBI;TS;;True;2;3;12
LFBI;GR;;True;2;3;12
LFBI;SQ;;True;2;12;12
LFBI;VENT_MOY;30.0;True;2;12;12
LFBI;VENT;50.0;True;2;12;12
LFBI;SN;;False;2;12;12
