oaci;nom;entete;date_pivot;region__tag;inseepp;outremer;active;ouverture;fermeture;retention;reconduction;repousse;wint_unit;fuseau;ouverture_hiver;fermeture_hiver;ouverture_ete;fermeture_ete;inseeaero
FMCZ;MAYOTTE - DZAOUDZI PAMANDZI;WLRE98 FMCZ;2022-03-27 01:00:00;DIRRE;9850801;True;True;00:00;23:59;3;1;3;kt;Europe/Paris;00:00;23:59;00:00;23:59;9850861
FMEE;LA REUNION-ROLAND GARROS;WLRE98 FMEE;2022-03-27 01:00:00;DIRRE;9741801;True;True;00:00;23:59;1;3;3;kt;Indian/Reunion;00:00;23:59;00:00;23:59;9741861
LFAQ;ALBERT BRAY;WLFR80 LFAQ;2022-03-27 01:00:00;DIRN;8052361;False;True;07:00;18:15;1;3;3;kt;Europe/Paris;06:00;17:15;07:00;18:15;8052361
LFBA;AGEN LA GARENNE;WLFR47 LFBA;2022-03-27 01:00:00;DIRSO;4709161;False;True;06:00;21:00;1;3;3;kt;Europe/Paris;04:00;20:00;06:00;21:00;4709161
LFBD;BORDEAUX MERIGNAC;WLFR33 LFBD;2022-03-27 01:00:00;DIRSO;3328161;False;True;00:00;23:59;1;3;3;kt;Europe/Paris;00:00;23:59;00:00;23:59;3328161
LFBE;BERGERAC DORDOGNE PERIGORD;WLFR24 LFBE;2022-03-27 01:00:00;DIRSO;2403761;False;True;06:00;21:00;1;3;3;kt;Europe/Paris;00:01;20:00;06:00;21:00;2403761
LFBH;LA ROCHELLE ILE DE RE;WLFR17 LFBH;2022-03-27 01:00:00;DIRSO;1730061;False;True;00:00;23:59;1;3;3;kt;Europe/Paris;00:00;23:59;00:00;23:59;1730061
LFBI;POITIERS BIARD;WLFR86 LFBI;2022-03-27 01:00:00;DIRSO;8602761;False;True;00:00;23:59;1;3;3;kt;Europe/Paris;00:00;23:59;00:00;23:59;8602761
LFBL;LIMOGES BELLEGARDE;WLFR87 LFBL;2022-03-27 01:00:00;DIRSO;8708561;False;True;00:00;23:59;1;3;3;kt;Europe/Paris;00:00;23:59;00:00;23:59;8708561
LFBO;TOULOUSE BLAGNAC;WLFR31 LFBO;2022-03-27 01:00:00;DIRSO;3106961;False;True;00:00;23:59;1;3;3;kt;Europe/Paris;00:00;23:59;00:00;23:59;3106961
LFBP;PAU PYRENEES;WLFR64 LFBP;2022-03-27 01:00:00;DIRSO;6454961;False;True;00:00;23:59;1;3;3;kt;Europe/Paris;00:00;23:59;00:00;23:59;6454961
LFBT;TARBES LOURDES PYRENEES;WLFR65 LFBT;2022-03-27 01:00:00;DIRSO;6534461;False;True;00:00;23:59;1;3;3;kt;Europe/Paris;00:00;23:59;00:00;23:59;6534461
LFBZ;BIARRITZ PAYS BASQUE;WLFR64 LFBZ;2022-03-27 01:00:00;DIRSO;6402461;False;True;00:00;23:59;1;3;3;kt;Europe/Paris;00:00;23:59;00:00;23:59;6402461
LFCR;RODEZ AVEYRON;WLFR12 LFCR;2022-03-27 01:00:00;DIRSO;1225461;False;True;00:00;23:59;1;3;3;kt;Europe/Paris;00:00;23:59;00:00;23:59;1225461
LFGJ;DOLE TAVAUX;WLFR39 LFGJ;2022-03-27 01:00:00;DIRNE;3952661;False;True;08:00;18:00;1;3;3;kt;Europe/Paris;07:00;17:00;08:00;18:00;3952661
LFJL;METZ NANCY LORRAINE;WLFR57 LFJL;2022-03-27 01:00:00;DIRNE;5725161;False;True;00:00;23:59;1;3;3;kmh;Europe/Paris;00:00;23:59;00:00;23:59;5725161
LFKB;BASTIA PORETTA;WLFR20 LFKB;2022-03-27 01:00:00;DIRSE;2014861;False;True;00:00;23:59;1;3;3;kmh;Europe/Paris;00:00;23:59;00:00;23:59;2014861
LFKC;CALVI SAINTE CATHERINE;WLFR20 LFKC;2022-03-27 01:00:00;DIRSE;2005061;False;True;03:00;19:00;1;3;3;kt;Europe/Paris;03:00;20:30;03:00;19:00;2005061
LFKF;FIGARI;WLFR20 LFKF;2022-03-27 01:00:00;DIRSE;2011461;False;True;03:00;21:30;1;3;3;kt;Europe/Paris;03:00;21:30;03:00;21:30;2011461
LFKJ;AJACCIO;WLFR20 LFKJ;2022-03-27 01:00:00;DIRSE;2000461;False;True;00:00;23:59;1;3;3;kmh;Europe/Paris;00:00;23:59;00:00;23:59;2000461
LFLB;CHAMBERY;WLFR73 LFLB;2022-03-27 01:00:00;DIRCE;7332961;False;True;06:00;22:00;1;3;3;kmh;Europe/Paris;00:01;19:00;06:00;22:00;7332961
LFLC;CLERMONT-FERRAND;WLFR63 LFLC;2022-03-27 01:00:00;DIRCE;6311361;False;True;00:00;23:59;1;3;3;kmh;Europe/Paris;00:00;23:59;00:00;23:59;6311361
LFLL;LYON SAINT EXUPERY;WLFR69 LFLL;2022-03-27 01:00:00;DIRCE;6929961;False;True;00:00;23:59;1;3;3;kmh;Europe/Paris;00:00;23:59;00:00;23:59;6929961
LFLP;ANNECY MEYTHET;WLFR74 LFLP;2022-03-27 01:00:00;DIRCE;7418261;False;True;03:00;19:00;1;3;3;kmh;Europe/Paris;03:00;19:00;03:00;19:00;7418261
LFLS;GRENOBLE ISERE;WLFR38 LFLS;2022-03-27 01:00:00;DIRCE;3838461;False;True;03:00;20:00;1;3;3;kmh;Europe/Paris;03:00;19:00;03:00;20:00;3838461
LFLW;AURILLAC;WLFR15 LFLW;2022-03-27 01:00:00;DIRSO;1501461;False;True;05:00;17:00;1;3;3;kmh;Europe/Paris;05:00;17:00;05:00;17:00;1501461
LFLX;CHATEAUROUX DEOLS;WLFR36 LFLX;2022-03-27 01:00:00;DIRIC;3606361;False;True;00:00;23:59;1;3;3;kt;Europe/Paris;00:00;23:59;00:00;23:59;3606361
LFLY;LYON BRON;WLFR69 LFLY;2022-03-27 01:00:00;DIRCE;6902961;False;True;00:00;23:59;1;3;3;kmh;Europe/Paris;00:00;23:59;00:00;23:59;6902961
LFMD;CANNES MANDELIEU;WLFR06 LFMD;2022-03-27 01:00:00;DIRSE;0602961;False;True;03:00;19:00;1;3;3;kt;Europe/Paris;03:00;21:00;03:00;19:00;0602961
LFMI;ISTRES LE TUBE;WLFR13 LFMI;2022-03-27 01:00:00;DIRSE;1304761;False;True;00:00;23:59;1;3;3;kt;Europe/Paris;00:00;23:59;00:00;23:59;1304761
LFMK;CARCASSONNE SALVAZA;WLFR11 LFMK;2022-03-27 01:00:00;DIRSE;1106961;False;True;03:00;18:00;1;3;3;kt;Europe/Paris;03:00;18:00;03:00;18:00;1106961
LFML;MARSEILLE PROVENCE;WLFR13 LFML;2022-03-27 01:00:00;DIRSE;1305461;False;True;00:00;23:59;1;3;3;kt;Europe/Paris;00:00;23:59;00:00;23:59;1305461
LFMN;NICE COTE D'AZUR;WLFR06 LFMN;2022-03-27 01:00:00;DIRSE;0608861;False;True;00:00;23:59;1;3;3;kt;Europe/Paris;00:00;23:59;00:00;23:59;0608861
LFMP;PERPIGNAN RIVESALTES;WLFR66 LFMP;2022-03-27 01:00:00;DIRSE;6613661;False;True;03:00;21:30;1;3;3;kt;Europe/Paris;03:00;21:30;03:00;21:30;6613661
LFMT;MONTPELLIER MEDITERRANEE;WLFR34 LFMT;2022-03-27 01:00:00;DIRSE;3415461;False;True;00:00;23:59;1;3;3;kt;Europe/Paris;00:00;23:59;00:00;23:59;3415461
LFMU;BEZIERS VIAS;WLFR34 LFMU;2022-03-27 01:00:00;DIRSE;3420961;False;True;03:00;19:30;1;3;3;kt;Europe/Paris;03:00;20:30;03:00;19:30;3420961
LFMV;AVIGNON CAUMONT;WLFR84 LFMV;2022-03-27 01:00:00;DIRSE;8400761;False;True;03:00;20:00;1;3;3;kt;Europe/Paris;03:00;20:00;03:00;20:00;8400761
LFOB;BEAUVAIS TILLE;WLFR60 LFOB;2022-03-27 01:00:00;DIRN;6063961;False;True;00:00;23:59;1;3;3;kt;Europe/Paris;00:00;23:59;00:00;23:59;6063961
LFOK;CHALONS VATRY;WLFR51 LFOK;2022-03-27 01:00:00;DIRN;5159561;False;True;05:00;21:00;1;3;3;kt;Europe/Paris;03:00;20:30;05:00;21:00;5159561
LFOT;TOURS VAL DE LOIRE;WLFR37 LFOT;2022-03-27 01:00:00;DIRIC;3717961;False;True;00:00;23:59;1;3;3;kt;Europe/Paris;00:00;23:59;00:00;23:59;3717961
LFPB;Le Bourget;WLFR93 LFPB;2022-03-27 01:00:00;LFPG;9508861;False;True;00:00;23:59;3;1;3;kt;Europe/Paris;00:00;23:59;00:00;23:59;9508861
LFPG;Roissy;WLFR95 LFPG;2022-03-27 01:00:00;LFPG;9552761;False;True;00:00;23:59;3;1;3;kt;Europe/Paris;00:00;23:59;00:00;23:59;9552761
LFPN;TOUSSUS LE NOBLE;WLFR78 LFPN;2022-03-27 01:00:00;DIRIC;7862061;False;True;05:30;17:00;1;3;3;kt;Europe/Paris;05:30;17:00;05:30;17:00;7862061
LFPO;PARIS ORLY;WLFR94 LFPO;2022-03-27 01:00:00;DIRIC;9405461;False;True;00:00;23:59;1;3;3;kt;Europe/Paris;00:00;23:59;00:00;23:59;9405461
