scan_ICE_DEPOSIT	duree_ICE_DEPOSIT	scan_HVY_TS	duree_HVY_TS	scan_HVY_GR	duree_HVY_GR	scan_HVY_SN	duree_HVY_SN	scan_HVY_FZDZ	duree_HVY_FZDZ	scan_HVY_FZRA	duree_HVY_FZRA	scan_SNRA	duree_SNRA	scan_HVY_SNRA	duree_HVY_SNRA	scan_VEHICLE_RIME	duree_VEHICLE_RIME	scan_VEHICULE_RIME	duree_VEHICULE_RIME	date_pivot	ouverture1	fermeture1	ouverture2	fermeture2	scan_DENSE_FG	duree_DENSE_FG	station	nom	entete	ouverture	fermeture	scan_VENT	scan_VENT_MOY	scan_TMIN	scan_TMAX	scan_RR1	scan_RR3	scan_RR6	scan_RR12	scan_RR24	scan_TS	scan_GR	scan_SQ	scan_FG	scan_FZFG	scan_SN	scan_RIME	scan_FWID	scan_FWOID	scan_FZRA	scan_FZDZ	scan_SS	scan_DS	scan_SA	scan_DU	scan_TC	scan_VA	scan_TOXCHEM	scan_TSUNAMI	scan_SEA	scan_INV_TEMPE	scan_HVY_SWELL	scan_BLSN	duree_VENT	duree_VENT_MOY	duree_TMIN	duree_TMAX	duree_RR1	duree_RR3	duree_RR6	duree_RR12	duree_RR24	duree_TS	duree_GR	duree_SQ	duree_FG	duree_FZFG	duree_SN	duree_RIME	duree_FWID	duree_FWOID	duree_FZRA	duree_FZDZ	duree_SS	duree_DS	duree_SA	duree_DU	duree_TC	duree_VA	duree_TOXCHEM	duree_TSUNAMI	duree_SEA	duree_INV_TEMPE	duree_HVY_SWELL	duree_BLSN	retention	reconduction	delta_debut_repousse	unite_vent	unite_tempe	dir	fuseau
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	2022-03-27 01:00:00	00:00	24:00	00:00	24:00	12	12	FMCZ	MAYOTTE - DZAOUDZI PAMANDZI	WLRE98 FMCZ	00:00	24:00	12	12	12	12	12	12	12	6	3	3	3	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	9	6	6	3	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	3	1	3	kt	c	DIRRE	Europe/Paris
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	2022-03-27 01:00:00	00:00	24:00	00:00	24:00	12	12	FMEE	LA REUNION-ROLAND GARROS	WLRE98 FMEE	00:00	24:00	12	12	12	12	12	12	12	12	12	3	3	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	1	3	3	kt	c	DIRRE	Indian/Reunion
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	2022-03-27 01:00:00	07:00	18:15	06:00	17:15	12	12	LFAQ	ALBERT BRAY	WLFR80 LFAQ	07:00	18:15	12	12	12	12	12	12	12	12	12	3	3	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	1	3	3	kt	c	DIRN	Europe/Paris
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	2022-03-27 01:00:00	06:00	21:00	04:00	20:00	12	12	LFBA	AGEN LA GARENNE	WLFR47 LFBA	06:00	21:00	12	12	12	12	12	12	12	12	12	3	3	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	1	3	3	kt	c	DIRSO	Europe/Paris
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	2022-03-27 01:00:00	00:00	24:00	00:00	24:00	12	12	LFBD	BORDEAUX MERIGNAC	WLFR33 LFBD	00:00	24:00	12	12	12	12	12	12	12	12	12	3	3	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	1	3	3	kt	c	DIRSO	Europe/Paris
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	2022-03-27 01:00:00	06:00	21:00	00:01	20:00	12	12	LFBE	BERGERAC DORDOGNE PERIGORD	WLFR24 LFBE	06:00	21:00	12	12	12	12	12	12	12	12	12	3	3	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	1	3	3	kt	c	DIRSO	Europe/Paris
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	2022-03-27 01:00:00	00:00	24:00	00:00	24:00	12	12	LFBH	LA ROCHELLE ILE DE RE	WLFR17 LFBH	00:00	24:00	12	12	12	12	12	12	12	12	12	3	3	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	1	3	3	kt	c	DIRSO	Europe/Paris
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	2022-03-27 01:00:00	00:00	24:00	00:00	24:00	12	12	LFBI	POITIERS BIARD	WLFR86 LFBI	00:00	24:00	12	12	12	12	12	12	12	12	12	3	3	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	1	3	3	kt	c	DIRSO	Europe/Paris
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	2022-03-27 01:00:00	00:00	24:00	00:00	24:00	12	12	LFBL	LIMOGES BELLEGARDE	WLFR87 LFBL	00:00	24:00	12	12	12	12	12	12	12	12	12	3	3	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	1	3	3	kt	c	DIRSO	Europe/Paris
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	2022-03-27 01:00:00	00:00	24:00	00:00	24:00	12	12	LFBO	TOULOUSE BLAGNAC	WLFR31 LFBO	00:00	24:00	12	12	12	12	12	12	12	12	12	3	3	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	1	3	3	kt	c	DIRSO	Europe/Paris
